longitude,latitude,M13_log
57.505035,-34.016617,-0.6410066631603596
57.5314,-34.02121,-0.6440819984665913
57.540184,-34.02275,-0.6379407565523733
57.566494,-34.027336,-0.6287990351621162
57.57525,-34.028854,-0.6318369994044779
57.584015,-34.030388,-0.6348842210042397
57.592777,-34.031906,-0.6287990351621162
57.601532,-34.033432,-0.6287990351621162
57.610283,-34.034954,-0.6318369994044779
57.61903,-34.036476,-0.6287990351621162
57.627773,-34.03799,-0.6287990351621162
57.63651,-34.03951,-0.6257702722003863
57.645245,-34.041016,-0.6287990351621162
57.653976,-34.04253,-0.6287990351621162
57.662697,-34.04404,-0.6502611884010344
57.671425,-34.04555,-0.6287990351621162
57.68014,-34.047077,-0.6287990351621162
57.697586,-34.05008,-0.6287990351621162
57.706303,-34.05159,-0.6287990351621162
57.714996,-34.053093,-0.6471668206428753
57.723705,-34.054596,-0.6348842210042397
57.7324,-34.056107,-0.6287990351621162
57.7411,-34.057602,-0.6287990351621162
57.749794,-34.059093,-0.6227506549505115
57.758484,-34.060593,-0.6287990351621162
57.767166,-34.062088,-0.6287990351621162
57.86248,-34.078476,-0.6533651609996125
57.89706,-34.084385,-0.6379407565523733
57.90571,-34.085865,-0.6287990351621162
57.94021,-34.091755,-0.6348842210042397
58.009098,-34.103485,-0.6167386378145726
58.01768,-34.104954,-0.6257702722003863
58.026283,-34.10641,-0.619740128345591
58.034866,-34.10786,-0.619740128345591
58.04346,-34.109325,-0.6348842210042397
58.103497,-34.1195,-0.6318369994044779
58.112076,-34.12094,-0.6227506549505115
58.129192,-34.123833,-0.6533651609996125
58.137756,-34.125282,-0.6348842210042397
58.14631,-34.12672,-0.6471668206428753
58.17197,-34.131046,-0.6227506549505115
58.180515,-34.132492,-0.6257702722003863
58.189064,-34.13392,-0.6227506549505115
58.197605,-34.135357,-0.6257702722003863
58.206146,-34.136795,-0.6227506549505115
58.21469,-34.13823,-0.6287990351621162
58.223217,-34.139668,-0.6287990351621162
58.231754,-34.1411,-0.6348842210042397
58.240273,-34.142532,-0.6318369994044779
58.24881,-34.14396,-0.6348842210042397
58.393467,-34.16813,-0.6502611884010344
58.401955,-34.16953,-0.6440819984665913
58.48676,-34.1836,-0.6440819984665913
58.495243,-34.184998,-0.6410066631603596
58.5037,-34.186405,-0.6379407565523733
58.51217,-34.18779,-0.6471668206428753
58.520622,-34.1892,-0.6348842210042397
58.529106,-34.19059,-0.6348842210042397
58.546032,-34.19338,-0.6471668206428753
58.55449,-34.194782,-0.6410066631603596
58.562935,-34.196175,-0.6348842210042397
58.571392,-34.197575,-0.6348842210042397
58.57985,-34.19896,-0.6318369994044779
58.588303,-34.20035,-0.6348842210042397
58.59676,-34.201733,-0.6379407565523733
58.60521,-34.20312,-0.6348842210042397
58.61366,-34.20451,-0.6379407565523733
58.62211,-34.2059,-0.6348842210042397
58.630543,-34.207287,-0.6440819984665913
58.638977,-34.20868,-0.6502611884010344
58.69805,-34.218346,-0.6471668206428753
